Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Score_P01,Score_P02,Score_P03,Score_S01,Score_S02,Score_N01,Score_N02,Prob_P01,Prob_P02,Prob_P03,Prob_S01,Prob_S02,Prob_N01,Prob_N02,argmax_Persona_Code,argmax_Persona,argmax_RiskTier,softmax_Persona_Code,softmax_Persona,softmax_RiskTier
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,0.4,0.6708333333333334,0.04999999999999999,0.31,0.4285714285714286,0.4571428571428572,0.16666666666666669,0.05091780943797812,0.7639834192806738,0.0015375846146231738,0.02070163645793542,0.06775695008641727,0.09016499994182677,0.004937600180545518,P02,Onboarding Failure (온보딩 실패),High,P02,Onboarding Failure (온보딩 실패),High
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,0.7666666666666666,0.4541666666666667,0.2833333333333333,0.39,0.4142857142857143,0.8119047619047619,0.0,0.373548062680213,0.016412556435132973,0.002973421603727574,0.008639804986049411,0.011014770605154975,0.5872364975222855,0.00017488616743663134,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,0.33333333333333337,0.5041666666666667,0.44999999999999996,0.2777777777777778,0.3790476190476191,0.5380952380952382,0.0,0.05084030173376592,0.2806259698720715,0.16326196336268123,0.029169797031071424,0.08030502833959904,0.3939832630749881,0.0018136765858226696,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,0.23333333333333334,0.575,0.30000000000000004,0.25,0.37333333333333335,0.6666666666666667,0.16666666666666669,0.00866827138659768,0.2641021760791369,0.016883487256776523,0.010240352664102503,0.03515157383953156,0.6605036998515553,0.004450438922299635,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,0.7666666666666666,0.7166666666666667,0.23333333333333336,0.18888888888888888,0.4428571428571429,0.769047619047619,0.33333333333333337,0.3716212581324285,0.22539968685830086,0.0017941688509080925,0.0011503858807341758,0.014581884552636442,0.3805755591403811,0.004877056584610713,N01,Coaster (현상 유지자),Neutral,P02,Onboarding Failure (온보딩 실패),High
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,0.5,0.675,0.5166666666666666,0.37777777777777777,0.18666666666666668,0.5,0.16666666666666669,0.10741387511209474,0.618124173160206,0.1268944998499231,0.03164142381926862,0.004680271080261342,0.10741387511209474,0.0038318818661514705,P02,Onboarding Failure (온보딩 실패),High,P02,Onboarding Failure (온보딩 실패),High
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,0.8,0.5583333333333333,0.04999999999999999,0.33,0.4142857142857143,0.4785714285714286,0.0,0.8616866679452558,0.07687840698540112,0.00047658542800528726,0.00783727901979905,0.018205957090231605,0.03462603985724966,0.00028906367405747465,P01,Burnout (저성과자/번아웃),High,P01,Burnout (저성과자/번아웃),High
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,0.6000000000000001,0.6875,0.2,0.19777777777777777,0.4285714285714286,0.4571428571428572,0.33333333333333337,0.254820513135584,0.6112826333569703,0.004667200500033298,0.00456462883950413,0.04589121539331498,0.06106800007956784,0.017705808695025606,P02,Onboarding Failure (온보딩 실패),High,P01,Burnout (저성과자/번아웃),High
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,0.2666666666666667,0.2875,0.38333333333333336,0.7155555555555556,0.3914285714285715,0.7261904761904763,0.16666666666666669,0.005067730210992979,0.006241536340895348,0.01627385274721112,0.4511418963670902,0.017646051985891788,0.501764618589891,0.0018643137580277324,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,0.6333333333333334,0.5625,0.25,0.17888888888888888,0.37333333333333335,0.6666666666666667,0.16666666666666669,0.3328875637411734,0.16393523695379938,0.007202811624576653,0.003537288036267136,0.02472475050210909,0.4645820201138192,0.003130329028254972,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,0.30000000000000004,0.5166666666666667,0.08333333333333331,0.29000000000000004,0.4733333333333334,0.35,0.0,0.055228692440870655,0.4820988979637041,0.0063269351612538285,0.04997298746969952,0.3125660922978318,0.09105671998021875,0.002749674686421357,P02,Onboarding Failure (온보딩 실패),High,S02,Rising Star (라이징 스타),Stable
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,0.3666666666666667,0.8374999999999999,0.23333333333333336,0.19444444444444448,0.9714285714285715,0.37619047619047624,0.8333333333333334,0.0015555570449708486,0.17246029621220316,0.00041004038523007264,0.0002779293004779877,0.6581630897513602,0.0017109894090931394,0.16542209789666448,S02,Rising Star (라이징 스타),Stable,S02,Rising Star (라이징 스타),Stable
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,0.43333333333333335,0.5833333333333333,0.23333333333333336,0.45,0.3466666666666667,0.6666666666666667,0.16666666666666669,0.05681664162395232,0.2546345217793816,0.007689296286730712,0.06712093120651177,0.02388289715312034,0.585907895603382,0.003947816346921288,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0.23333333333333334,0.5,0.06666666666666668,0.17777777777777778,0.4428571428571429,0.6023809523809525,0.0,0.015517634122596921,0.2233284882876498,0.0029309024995182137,0.0089032956595919,0.12611764449663349,0.6216972594165416,0.0015047755174680637,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,0.5333333333333333,0.75,0.30000000000000004,0.27555555555555555,0.37333333333333335,0.6666666666666667,0.16666666666666669,0.07182267859842884,0.626950099138686,0.0069647864809823405,0.005454399366848512,0.014500748722072045,0.2724713899090082,0.001835897783974049,P02,Onboarding Failure (온보딩 실패),High,N01,Coaster (현상 유지자),Neutral
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,0.33333333333333337,0.3916666666666667,0.35,0.5111111111111112,0.2933333333333334,0.6666666666666667,0.0,0.025888174893597512,0.04639165667222224,0.03058326498063839,0.15317239846694564,0.017353362586454965,0.7256876078212146,0.0009235345789267039,N01,Coaster (현상 유지자),Neutral,S01,Anchor (앵커),Stable
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,0.7999999999999999,0.7749999999999999,0.45,0.37777777777777777,0.7971428571428572,0.5642857142857143,0.8333333333333334,0.23332867412343117,0.18171655412034077,0.007045915435926462,0.0034220023284708195,0.2267564762010078,0.022093981055299108,0.325636396735524,N02,Competent Malcontent (유능한 불만자),Neutral,S02,Rising Star (라이징 스타),Stable
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,0.43333333333333335,0.5208333333333334,0.4,0.39,0.2933333333333334,0.6666666666666667,0.0,0.0652071985422637,0.15642393757184378,0.0467229994303335,0.04227671816743857,0.016079897187659783,0.6724334875150962,0.0008557615853645211,N01,Coaster (현상 유지자),Neutral,P01,Burnout (저성과자/번아웃),High
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,0.2666666666666667,0.22499999999999998,0.4,0.5933333333333334,0.3095238095238096,0.769047619047619,0.0,0.0053975149763804235,0.0035582611745453596,0.020476379276966026,0.14154325009441518,0.008285525582142591,0.8203640309269647,0.0003750379685856695,N01,Coaster (현상 유지자),Neutral,S01,Anchor (앵커),Stable
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,0.5333333333333333,0.675,0.33333333333333337,0.3733333333333334,0.36095238095238097,0.6452380952380953,0.0,0.11486681273926037,0.47363641659526073,0.015545532636554763,0.023191209525200818,0.020490549570386304,0.3517149077054812,0.0005545712278559496,P02,Onboarding Failure (온보딩 실패),High,N01,Coaster (현상 유지자),Neutral
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,0.23333333333333334,0.4875,0.21666666666666667,0.19111111111111112,0.4,0.6666666666666667,0.0,0.010331409931615089,0.13121739210602254,0.008745349699465567,0.006773151854980119,0.05469954709026335,0.7872312921657708,0.0010018571518825739,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,0.6333333333333334,0.45,0.15,0.28555555555555556,0.40190476190476193,0.6238095238095238,0.0,0.4527991028967406,0.07239340559624405,0.0036042554338027058,0.013980601587280372,0.044753194666404886,0.41166522172736714,0.0008042180921602462,P01,Burnout (저성과자/번아웃),High,N01,Coaster (현상 유지자),Neutral
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,0.3666666666666667,0.7416666666666667,0.21666666666666667,0.37777777777777777,0.40190476190476193,0.7904761904761906,0.5,0.008378463812288732,0.35626134679688765,0.0018694879722338088,0.009363093076996306,0.011917948416501687,0.5804245507536473,0.031785109171444566,N01,Coaster (현상 유지자),Neutral,P02,Onboarding Failure (온보딩 실패),High
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,0.23333333333333334,0.5875,0.06666666666666668,0.33333333333333337,0.4428571428571429,0.6023809523809525,0.16666666666666669,0.011476275643116094,0.39621166799488705,0.0021675884804235805,0.031195751539069633,0.09327200527277733,0.4597845946918138,0.005892116377912573,N01,Coaster (현상 유지자),Neutral,P02,Onboarding Failure (온보딩 실패),High
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,0.6333333333333334,0.7749999999999999,0.33333333333333337,0.23555555555555557,0.41809523809523813,0.5595238095238095,0.5,0.16529758590300755,0.6815802962746307,0.008229682210395899,0.0030955624635728243,0.019208760442156986,0.07901614212476472,0.043571970581471255,P02,Onboarding Failure (온보딩 실패),High,P02,Onboarding Failure (온보딩 실패),High
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,0.30000000000000004,0.5041666666666667,0.18333333333333332,0.2877777777777778,0.38761904761904764,0.4785714285714286,0.0,0.054599605459112764,0.4206046519034666,0.017002493164432777,0.04831801316363647,0.1311336632133914,0.3256232188061087,0.0027183542898512442,P02,Onboarding Failure (온보딩 실패),High,P02,Onboarding Failure (온보딩 실패),High
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,0.7666666666666666,0.6291666666666667,0.33333333333333337,0.23777777777777778,0.4428571428571429,0.769047619047619,0.16666666666666669,0.42793138266402947,0.10819799782493955,0.00561605538410681,0.002159926024000568,0.01679141298271291,0.4382424892739683,0.0010607358462423092,N01,Coaster (현상 유지자),Neutral,P01,Burnout (저성과자/번아웃),High
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,0.23333333333333334,0.7749999999999999,0.2833333333333333,0.2177777777777778,0.37523809523809526,0.6238095238095238,0.5,0.0033693237244275306,0.7585272434278001,0.005555075692338247,0.002883937342908141,0.013926028847871277,0.1672473666252958,0.04849102433935894,P02,Onboarding Failure (온보딩 실패),High,P02,Onboarding Failure (온보딩 실패),High
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,0.9666666666666666,0.6875,0.2833333333333333,0.07,0.4428571428571429,0.769047619047619,0.0,0.8288480731542416,0.05082407738037962,0.0008928859157492543,0.00010575504096200674,0.00440148346417743,0.11487520864534666,5.251639914359112e-05,P01,Burnout (저성과자/번아웃),High,P01,Burnout (저성과자/번아웃),High
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,0.5,0.9375,0.18333333333333332,0.3055555555555556,0.4876190476190476,0.3285714285714286,0.5,0.01209355226001702,0.9607098511526395,0.0005096687739174136,0.0017301844045577127,0.010685235360262673,0.0021779557885885617,0.01209355226001702,P02,Onboarding Failure (온보딩 실패),High,P02,Onboarding Failure (온보딩 실패),High
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,0.23333333333333334,0.5875,0.21666666666666667,0.19777777777777777,0.4142857142857143,0.6452380952380953,0.16666666666666669,0.009506311074143188,0.3281997996818624,0.008046918595387476,0.006661870800478274,0.05806015981400459,0.5846442371898097,0.004880702844314223,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,0.5333333333333333,0.6875,0.06666666666666668,0.19777777777777777,0.4285714285714286,0.6238095238095238,0.0,0.11704656958733148,0.5468850056182606,0.0011006547385524089,0.004083752641275695,0.04105665075151228,0.2892622716781506,0.0005650949849171483,P02,Onboarding Failure (온보딩 실패),High,N01,Coaster (현상 유지자),Neutral
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,0.4,0.6541666666666667,0.4,0.19777777777777777,0.4142857142857143,0.9785714285714286,0.16666666666666669,0.0029265586696351213,0.03716969891008467,0.0029265586696351213,0.00038736223926970576,0.003375975636797874,0.9529300517213124,0.00028379415326515315,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,0.33333333333333337,0.4541666666666667,0.4,0.3577777777777778,0.4304761904761905,0.5809523809523809,0.0,0.04515529721224014,0.1511754270548783,0.08795050951422138,0.0576593282626208,0.119287455077679,0.5371611131060177,0.0016108697723426592,N01,Coaster (현상 유지자),Neutral,S01,Anchor (앵커),Stable
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,0.03333333333333334,0.35,0.3666666666666667,0.4177777777777778,0.8914285714285715,0.20952380952380956,0.5,0.00018047813789268854,0.004282431853966117,0.005059095463070407,0.008434233294980466,0.9618002153046634,0.0010510179110392933,0.019192528034387524,S02,Rising Star (라이징 스타),Stable,S02,Rising Star (라이징 스타),Stable
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,0.33333333333333337,0.29166666666666663,0.8666666666666667,0.6277777777777778,0.014285714285714285,0.6452380952380953,0.0,0.003992203361712417,0.002631822660063623,0.8268940993202418,0.07585227842519188,0.00016428823045050474,0.09032289016617308,0.00014241783616660746,P03,Career Stall (성장 정체),High,P03,Career Stall (성장 정체),High
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,0.13333333333333336,0.5541666666666667,0.5333333333333333,0.39,0.7152380952380952,0.27380952380952384,0.6666666666666667,0.0014625914035228077,0.09835104102102872,0.07985478488672523,0.019046368680818798,0.4923832690460815,0.005959411300221813,0.30294253366160123,S02,Rising Star (라이징 스타),Stable,S02,Rising Star (라이징 스타),Stable
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,0.23333333333333334,0.9208333333333334,0.31666666666666665,0.20111111111111113,0.942857142857143,0.2523809523809524,1.0,0.0002317405825010878,0.22427282695079614,0.0005332294932764625,0.00016790466447077446,0.2795276972575785,0.00028036568183539075,0.4949862353695416,N02,Competent Malcontent (유능한 불만자),Neutral,S02,Rising Star (라이징 스타),Stable
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,0.43333333333333335,0.48750000000000004,0.16666666666666669,0.3411111111111111,0.942857142857143,0.2523809523809524,0.6666666666666667,0.005652761541154666,0.009716358037530966,0.00039277338081894855,0.0022477325934711656,0.9227720977500455,0.0009255384382391516,0.05829273825873957,S02,Rising Star (라이징 스타),Stable,S02,Rising Star (라이징 스타),Stable
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,0.2,0.4875,0.2,0.19777777777777777,0.5142857142857143,0.3285714285714286,0.0,0.02099693208420328,0.3721795264420285,0.02099693208420328,0.02053547983035656,0.4864983347394888,0.07595116906900397,0.002841625750715571,S02,Rising Star (라이징 스타),Stable,P02,Onboarding Failure (온보딩 실패),High
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,0.7666666666666666,0.5541666666666667,0.33333333333333337,0.24,0.4285714285714286,0.7904761904761906,0.0,0.4096630115919414,0.04892726946350917,0.0053763062376909485,0.002114182540519928,0.013934705374040034,0.5197927304793424,0.00019179431295617837,N01,Coaster (현상 유지자),Neutral,P01,Burnout (저성과자/번아웃),High
