Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime_bin,is_married,AgeFactor,Norm_JobSatisfaction,Norm_WorkLifeBalance,Norm_PerformanceRating,Norm_YearsAtCompany,Norm_RelationshipSatisfaction,Norm_EnvironmentSatisfaction,Norm_YearsSinceLastPromotion,Norm_TrainingTimesLastYear,Norm_JobInvolvement,Norm_MonthlyIncome,Norm_PercentSalaryHike,Norm_JobLevel,Norm_TotalWorkingYears,Norm_NumCompaniesWorked,Score_P01,Score_P02,Score_P03,Score_P04,Score_S01,Score_S02,Score_S03,Score_N01,Score_N02,Score_N03,Prob_P01,Prob_P02,Prob_P03,Prob_P04,Prob_S01,Prob_S02,Prob_S03,Prob_N01,Prob_N02,Prob_N03,argmax_Persona_Code,argmax_Persona,argmax_RiskTier,softmax_Persona_Code,softmax_Persona,softmax_RiskTier
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,0,1,1,0.3333333333333333,0.6666666666666666,0.0,0.125,0.6666666666666666,0.0,0.0,0.8333333333333334,1.0,0.07461822011585045,0.14285714285714285,0.0,0.15,0.0,0.3666666666666667,0.7375,0.04999999999999999,0.7130098548108028,0.31,0.4285714285714286,0.5333333333333333,0.4714285714285714,0.30000000000000004,1.0,0.0015435246673897044,0.06295384756740184,6.50500620351797e-05,0.04927911831538259,0.0008758169944022673,0.0028665699204568425,0.008172175994149853,0.0044003654483369455,0.0007924719878869623,0.8690510590425579,N03,신규 부모,Neutral,N03,신규 부모,Neutral
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,1,0,1,0.6666666666666666,0.6666666666666666,0.0,0.225,1.0,1.0,0.0,0.5,0.3333333333333333,0.16766719325961033,0.07142857142857142,0.25,0.25,0.0,0.6666666666666666,0.3875,0.2833333333333333,0.7543616941247273,0.39,0.4142857142857143,0.45,0.819047619047619,0.0,0.3,0.11960851240678348,0.007334266057687039,0.0025880137241526646,0.2874860356869599,0.007519933886895616,0.009587062076497309,0.013702212913006174,0.548964368450534,0.00015221783581684462,0.0030573769616669506,N01,현상 유지자,Neutral,N01,현상 유지자,Neutral
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,0,0,1,0.6666666666666666,0.3333333333333333,0.0,0.125,1.0,0.0,0.26666666666666666,0.16666666666666666,0.6666666666666666,0.10015797788309637,0.42857142857142855,0.0,0.125,0.1111111111111111,0.33333333333333337,0.6375,0.44999999999999996,0.58850823741819,0.2777777777777778,0.3790476190476191,0.5333333333333333,0.580952380952381,0.2,0.5,0.015390008970683332,0.32226854782211956,0.04942148246642439,0.1974464822338876,0.008830070292109337,0.02430935821367442,0.11371763964742503,0.1830773986615013,0.004056762320247488,0.08148224937192736,P02,온보딩에 실패한 직원,High,S03,내재 동기 전문가,Stable
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,0,0,1,1.0,0.6666666666666666,0.0,0.05,0.6666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.6666666666666666,0.08699315429173249,0.0,0.0,0.075,0.0,0.16666666666666669,0.7083333333333333,0.30000000000000004,0.7652027382833071,0.25,0.37333333333333335,0.6666666666666667,0.6666666666666667,0.23333333333333336,0.5,0.001036815104911207,0.2334155361121397,0.003933332176224216,0.4122023342951658,0.0023856865597142018,0.008189233321596897,0.15387700512514163,0.15387700512514163,0.0020194400741152334,0.029063612105849693,P04,저평가된 전문가,High,N01,현상 유지자,Neutral
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,1,0,1,0.6666666666666666,0.6666666666666666,0.0,0.1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.053659820958399156,0.21428571428571427,0.0,0.15,0.5555555555555556,0.6666666666666666,0.7166666666666667,0.23333333333333336,0.6928217859023547,0.18888888888888888,0.4428571428571429,0.4,0.7904761904761904,0.2666666666666667,0.3,0.13091982084313586,0.21585029338032818,0.0017181562150342267,0.17005744190630423,0.0011016480693389857,0.013964101293110279,0.009096760985651951,0.45154738579728376,0.0023978801619406534,0.003346511347871819,N01,현상 유지자,Neutral,P04,저평가된 전문가,High
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,0,0,1,0.0,0.6666666666666666,0.0,0.25,0.6666666666666666,0.3333333333333333,0.5333333333333333,0.16666666666666666,1.0,0.4724065297525013,0.0,0.5,0.25,0.1111111111111111,0.4666666666666667,0.6083333333333334,0.5166666666666666,0.7110373880989995,0.37777777777777777,0.18666666666666668,0.5,0.5,0.23333333333333336,0.5,0.043396263506986936,0.17893811320184558,0.07154834271287704,0.4997362990587014,0.01784073728981086,0.0026389295015603357,0.06056436455266099,0.06056436455266099,0.004208221070234794,0.06056436455266099,P04,저평가된 전문가,High,P03,성장이 정체된 직원,High
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,1,0,1,0.3333333333333333,0.3333333333333333,0.0,0.15,1.0,0.0,0.0,0.8333333333333334,1.0,0.12053712480252765,0.07142857142857142,0.0,0.175,0.0,0.8333333333333334,0.625,0.04999999999999999,0.7232137215075605,0.33,0.4142857142857143,0.5333333333333333,0.4857142857142857,0.2,0.3,0.6384243949533405,0.07949307609464919,0.00025300903604953104,0.21225898146441102,0.004160644227730297,0.009665154205485953,0.03178527899925412,0.019743272133842808,0.0011339078315599537,0.0030822810536768187,P01,번아웃에 직면한 직원,High,P01,번아웃에 직면한 직원,High
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,1,0,0,1.0,0.3333333333333333,0.0,0.025,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.1014218009478673,0.14285714285714285,0.0,0.025,0.1111111111111111,0.6333333333333334,0.6875,0.2,0.7022884224779959,0.19777777777777777,0.4285714285714286,0.8,0.4714285714285714,0.2,0.0,0.09639327629601108,0.16568743933100274,0.0012650392101738492,0.1920944816013221,0.0012372372821398796,0.012438759996418197,0.510353242281439,0.01909428035150504,0.0012650392101738492,0.00017120443981429885,S03,내재 동기 전문가,Stable,P01,번아웃에 직면한 직원,High
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,0,1,0,1.0,0.6666666666666666,0.0,0.625,0.6666666666666666,0.0,0.2,0.5,0.3333333333333333,0.7592417061611374,0.35714285714285715,0.75,0.775,0.2222222222222222,0.16666666666666669,0.4875,0.38333333333333336,0.5034461746784022,0.7155555555555556,0.3914285714285715,0.6833333333333333,0.7619047619047619,0.30000000000000004,0.7,0.0009209347404407143,0.022781919815098955,0.008038966773263677,0.026720444328618434,0.22285532327578175,0.00871680651148682,0.16146696394866633,0.35425424085417634,0.0034937205579083225,0.19075067919455874,N01,현상 유지자,Neutral,N03,신규 부모,Neutral
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,1,0,1,1.0,0.6666666666666666,0.0,0.075,0.6666666666666666,1.0,0.06666666666666667,0.5,0.6666666666666666,0.1545550289626119,0.0,0.0,0.15,0.5555555555555556,0.5666666666666667,0.5625,0.25,0.7381779884149553,0.17888888888888888,0.37333333333333335,0.6666666666666667,0.6666666666666667,0.1,0.3,0.07553183527400362,0.0724493400709284,0.003183201845756054,0.41975342020630135,0.00156326479059879,0.01092682629178122,0.20531681529548615,0.20531681529548615,0.0007102683376283256,0.005248212592029914,P04,저평가된 전문가,High,S03,내재 동기 전문가,Stable
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,0,0,0,0.6666666666666666,0.3333333333333333,0.0,0.1,1.0,0.0,0.06666666666666667,0.8333333333333334,1.0,0.15808320168509743,0.5,0.25,0.125,0.0,0.33333333333333337,0.65,0.08333333333333331,0.5867667193259611,0.29000000000000004,0.4733333333333334,0.7166666666666668,0.4,0.2,0.2,0.011011617310753856,0.2612864986633233,0.0009038885918001297,0.13883479409590077,0.007139319768701525,0.044654310153475284,0.5089166079145423,0.02144770188322223,0.0029026308091403105,0.0029026308091403105,S03,내재 동기 전문가,Stable,S03,내재 동기 전문가,Stable
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,0,0,1,0.0,0.6666666666666666,1.0,0.125,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.1262769878883623,0.8571428571428571,0.0,0.25,0.7777777777777778,0.3666666666666667,0.7041666666666666,0.23333333333333336,0.4066320619875123,0.19444444444444448,0.9714285714285715,0.13333333333333333,0.36190476190476195,0.7666666666666666,0.5,0.0019428620464810816,0.056778751794153946,0.0005121328752060773,0.0028974067732327677,0.0003471285680261491,0.8220335548649731,0.00018840315593633575,0.0018525130449812482,0.10607667350747566,0.007370573369533733,S02,라이징 스타,Stable,S02,라이징 스타,Stable
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,0,0,1,0.3333333333333333,0.6666666666666666,0.0,0.3,0.6666666666666666,0.0,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.5784623486045287,0.0,0.5,0.325,0.0,0.3666666666666667,0.6499999999999999,0.23333333333333336,0.6686150605581885,0.45,0.3466666666666667,0.5,0.6666666666666667,0.30000000000000004,0.5,0.014275037942443078,0.24270476524377435,0.003762859148121411,0.29236305015108977,0.032846518147141825,0.011687412564833183,0.05415475313763048,0.2867218016728454,0.007329048854490066,0.05415475313763048,P04,저평가된 전문가,High,N03,신규 부모,Neutral
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0,0,0,1.0,0.6666666666666666,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.011743022643496578,0.21428571428571427,0.0,0.0,0.1111111111111111,0.16666666666666669,0.5666666666666667,0.06666666666666668,0.7095885052283157,0.17777777777777778,0.4428571428571429,0.6666666666666667,0.6238095238095238,0.06666666666666668,0.2,0.0018256727695330612,0.0996783557823919,0.0006716274782177413,0.4162004293521846,0.002040224133235965,0.028900338904470333,0.27095386321395176,0.17650992928649514,0.0006716274782177413,0.00254793160130167,P04,저평가된 전문가,High,N01,현상 유지자,Neutral
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,0,0,1,0.0,0.6666666666666666,0.0,0.1,0.6666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.6666666666666666,0.10273828330700369,0.0,0.0,0.2,0.2222222222222222,0.4666666666666667,0.6833333333333333,0.30000000000000004,0.7589046866771986,0.27555555555555555,0.37333333333333335,0.26666666666666666,0.6666666666666667,0.23333333333333336,0.5,0.02627318653098384,0.2293422804847861,0.004962363944503288,0.4882995725506952,0.0038862231930408045,0.010331686810959233,0.0035556891406990573,0.19413404917510887,0.002547762599978087,0.036667185569245545,P04,저평가된 전문가,High,N01,현상 유지자,Neutral
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,0,0,0,0.6666666666666666,0.3333333333333333,0.0,0.35,1.0,0.6666666666666666,0.26666666666666666,0.5,0.6666666666666666,0.9523433385992628,0.0,1.0,0.65,0.4444444444444444,0.33333333333333337,0.3916666666666667,0.35,0.6190626645602949,0.5111111111111112,0.2933333333333334,0.7333333333333334,0.6666666666666667,0.06666666666666668,0.2,0.00901407968598671,0.016153247253894644,0.010648876899441086,0.1569741397394623,0.053333547503815124,0.006042318310079536,0.4921520751062201,0.2526793005269474,0.0006263293661797035,0.0023760856079732043,S03,내재 동기 전문가,Stable,S01,안정적인 핵심인재,Stable
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,1,0,1,0.0,0.6666666666666666,1.0,0.25,0.3333333333333333,0.3333333333333333,0.4,0.8333333333333334,0.0,0.15323854660347552,0.7857142857142857,0.0,0.25,0.1111111111111111,0.7666666666666666,0.7083333333333333,0.45,0.42441886707289556,0.37777777777777777,0.7971428571428572,0.0,0.5428571428571428,0.8333333333333333,0.3,0.19708907984111854,0.109982633398823,0.00830609133821139,0.0064313071864869386,0.004034034208659685,0.2673123201639551,9.227233992251474e-05,0.021021812105631015,0.3838771099266894,0.0018533394905025933,N02,유능하지만 불만이 많은 직원,Neutral,S02,라이징 스타,Stable
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,0,1,1,0.3333333333333333,0.6666666666666666,0.0,0.225,1.0,0.6666666666666666,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.3062664560294892,0.0,0.25,0.25,0.0,0.3666666666666667,0.4541666666666667,0.4,0.7274934175882044,0.39,0.2933333333333334,0.45,0.6666666666666667,0.06666666666666668,1.0,0.001590062245811028,0.003814361037345917,0.002219110626914164,0.058676580212546924,0.0020079343299931707,0.000763715325725789,0.0036586948926300746,0.03193725394840412,7.916453774135301e-05,0.8952531228428874,N03,신규 부모,Neutral,P04,저평가된 전문가,High
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,0,1,1,1.0,0.6666666666666666,0.0,0.55,1.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4865192206424434,0.21428571428571427,0.5,0.6,0.3333333333333333,0.16666666666666669,0.425,0.4,0.6196780260287369,0.5933333333333334,0.3095238095238096,0.6333333333333333,0.7904761904761904,0.2,1.0,0.00020109954067743955,0.0026627996440695607,0.002073790447963632,0.018655823089646556,0.014335104661287462,0.0008391348673607652,0.021385463176981104,0.10293934917563892,0.0002806570176485398,0.836626778378726,N03,신규 부모,Neutral,N01,현상 유지자,Neutral
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,0,0,0,0.0,0.3333333333333333,0.0,0.05,1.0,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.6666666666666666,0.9446024223275408,0.07142857142857142,1.0,0.55,0.3333333333333333,0.5333333333333333,0.6083333333333334,0.33333333333333337,0.5935876024975552,0.3733333333333334,0.36095238095238097,0.4666666666666667,0.6523809523809524,0.13333333333333336,0.2,0.10734879241993882,0.2272573953363612,0.014528079227260769,0.19610024192916334,0.021673347400516723,0.01914944534410374,0.05511470773587275,0.353032268783053,0.0019661617171052863,0.003829560106624477,N01,현상 유지자,Neutral,N01,현상 유지자,Neutral
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,0,0,1,1.0,0.6666666666666666,0.0,0.025,1.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.07830437072143233,0.0,0.0,0.175,0.4444444444444444,0.16666666666666669,0.5541666666666667,0.21666666666666667,0.7686782517114271,0.19111111111111112,0.4,0.6666666666666667,0.6666666666666667,0.06666666666666668,0.5,0.0012511374522565474,0.0602831783827713,0.0020627769301049355,0.515001055307697,0.0015975920770102822,0.01290205282835964,0.18568526176094344,0.18568526176094344,0.00046026774676480076,0.03507141575314864,P04,저평가된 전문가,High,S03,내재 동기 전문가,Stable
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,1,1,1,1.0,1.0,0.0,0.1,1.0,1.0,0.06666666666666667,0.8333333333333334,0.6666666666666666,0.2873091100579252,0.14285714285714285,0.25,0.225,0.2222222222222222,0.5,0.45,0.15,0.6779334988339729,0.28555555555555556,0.40190476190476193,0.7166666666666668,0.6380952380952382,0.0,0.8,0.02447690914120116,0.014845995849138933,0.0007391386103301044,0.14504806604282972,0.0028670560726320915,0.009177710825744388,0.2136623266097513,0.09738601041077172,0.00016492411649484407,0.49163186232110584,N03,신규 부모,Neutral,N03,신규 부모,Neutral
